date,trial,tank,fert,unfert,day
6/25/13,1,3,9,7,1
6/26/13,1,3,143,23,2
6/25/13,1,4,57,5,1
6/26/13,1,4,0,0,2
6/27/13,2,3,0,0,1
6/28/13,2,3,33,8,2
6/27/13,2,4,4,1,1
6/28/13,2,4,100,1,2
7/18/13,3,3,192,12,1
7/19/13,3,3,24,11,2
7/18/13,3,4,155,14,1
7/19/13,3,4,11,72,2
7/25/13,4,3,460,13,1
7/26/13,4,3,3,1,2
7/25/13,4,4,1166,5,1
7/26/13,4,4,285,22,2
8/13/13,5,3,277,46,1
8/14/13,5,3,11,4,2
8/13/13,5,4,12,8,1
8/14/13,5,4,53,17,2
8/22/13,6,3,207,4,1
8/23/13,6,3,68,20,2
8/22/13,6,4,323,8,1
8/23/13,6,4,116,13,2
9/11/13,7,3,103,1,1
9/12/13,7,3,39,0,2
9/11/13,7,4,258,0,1
9/12/13,7,4,114,1,2
9/18/13,8,3,569,2,1
9/19/13,8,3,121,1,2
9/18/13,8,4,186,5,1
9/19/13,8,4,22,16,2
10/2/13,9,3,151,8,1
10/3/13,9,3,52,3,2
10/2/13,9,4,162,0,1
10/3/13,9,4,77,17,2
10/8/13,10,3,471,8,1
10/9/13,10,3,47,0,2
10/8/13,10,4,184,0,1
10/9/13,10,4,44,0,2
