fish,date_end,notes,trial,tank
h83,6/26/13,x,1,3
j39,6/26/13,x,1,3
j13,6/26/13,x,1,3
j19,6/26/13,x,1,3
h90,6/26/13,x,1,3
h87,6/26/13,x,1,3
j15,6/26/13,x,1,3
h94,6/26/13,x,1,3
j54,6/26/13,x,1,3
j30,6/26/13,x,1,3
h95,6/26/13,x,1,3
j22,6/26/13,x,1,3
j32,6/26/13,x,1,3
j60,6/26/13,fell out,1,3
h80,6/26/13,x,1,3
j66,6/26/13,x,1,3
j65,6/26/13,x,1,3
j03,6/26/13,x,1,3
j69,6/26/13,?,1,3
j40,6/26/13,x,1,3
j50,6/26/13,x,1,3
j63,6/26/13,?,1,3
j72,6/26/13,x,1,3
j76,6/26/13,x,1,3
j55,6/26/13,x,1,3
j12,6/26/13,x,1,4
j26,6/26/13,x,1,3
h89,6/26/13,x,1,4
h92,6/26/13,x,1,3
j56,6/26/13,x,1,4
j20,6/26/13,x,1,3
j45,6/26/13,x,1,4
j58,6/26/13,tag fell out?,1,3
j43,6/26/13,x,1,4
j28,6/26/13,x,1,3
h96,6/26/13,x,1,4
j08,6/26/13,x,1,3
j18,6/26/13,x,1,4
h91,6/26/13,x,1,3
j46,6/26/13,x,1,4
j04,6/26/13,x,1,3
j02,6/26/13,x,1,4
j68,6/26/13,died (male),1,3
j70,6/26/13,x,1,4
j09,6/26/13,x,1,3
j14,6/26/13,x,1,4
i25,6/26/13,x,1,3
j31,6/26/13,x,1,4
j64,6/26/13,x,1,3
j73,6/26/13,x,1,4
k02,6/28/13,x,2,3
k23,6/28/13,x,2,3
j82,6/28/13,x,2,3
k26,6/28/13,lost tag,2,3
k12,6/28/13,x,2,3
j05,6/28/13,x,2,3
h85,6/28/13,x,2,3
j93,6/28/13,lost tag,2,3
j95,6/28/13,x,2,3
h98,6/28/13,x,2,3
k35,6/28/13,dual tag - h34,2,3
j33,6/28/13,x,2,3
j79,6/28/13,x,2,3
j94,6/28/13,x,2,3
j76,6/28/13,x,2,3
k04,6/28/13,x,2,3
k38,6/28/13,x,2,3
j06,6/28/13,dual tag - k10,2,3
k14,6/28/13,died,2,3
j84,6/28/13,died,2,3
j92,6/28/13,died,2,3
k39,6/28/13,died,2,3
k42,6/28/13,died,2,3
j78,6/28/13,lost tag,2,4
j86,6/28/13,x,2,4
k24,6/28/13,x,2,4
k00,6/28/13,x,2,4
k34,6/28/13,x,2,4
k18,6/28/13,x,2,4
h93,6/28/13,x,2,4
j75,6/28/13,x,2,4
k32,6/28/13,x,2,4
k40,6/28/13,x,2,4
k44,6/28/13,x,2,4
h88,6/28/13,x,2,4
j99,6/28/13,lost tag,2,4
j85,6/28/13,x,2,4
j88,6/28/13,x,2,4
j38,6/28/13,x,2,4
j80,6/28/13,x,2,4
j90,6/28/13,lost tag,2,4
j89,6/28/13,died,2,4
k19,6/28/13,died,2,4
k22,6/28/13,died,2,4
j83,6/28/13,died,2,4
k08,6/28/13,died,2,4
k13,6/28/13,died,2,4
j13,7/19/13,x,3,3
h92,7/19/13,x,3,3
k59,7/19/13,x,3,3
h96,7/19/13,x,3,3
h83,7/19/13,x,3,3
j86,7/19/13,x,3,3
h89,7/19/13,x,3,3
j55,7/19/13,x,3,3
j98,7/19/13,x,3,3
h85,7/19/13,x,3,3
j26,7/19/13,x,3,3
k68,7/19/13,x,3,3
j70,7/19/13,x,3,3
j74,7/19/13,x,3,3
j09,7/19/13,x,3,3
j02,7/19/13,x,3,3
k70,7/19/13,x,3,3
h98,7/19/13,x,3,3
j30,7/19/13,x,3,3
k00,7/19/13,x,3,3
k24,7/19/13,x,3,3
k04,7/19/13,x,3,3
j20,7/19/13,x,3,3
k49,7/19/13,x,3,3
k34,7/19/13,x,3,3
k58,7/19/13,x,3,4
j25,7/19/13,x,3,4
j76,7/19/13,x,3,4
j05,7/19/13,x,3,4
k54,7/19/13,x,3,4
j73,7/19/13,x,3,4
k50,7/19/13,x,3,4
j12,7/19/13,x,3,4
k62,7/19/13,x,3,4
h90,7/19/13,x,3,4
k53,7/19/13,x,3,4
j06,7/19/13,dual tag - k10,3,4
h93,7/19/13,x,3,4
j31,7/19/13,x,3,4
j19,7/19/13,x,3,4
k74,7/19/13,x,3,4
h80,7/19/13,x,3,4
j16,7/19/13,x,3,4
h95,7/19/13,x,3,4
j48,7/19/13,x,3,4
j03,7/19/13,x,3,4
k94,7/19/13,x,3,4
k06,7/19/13,x,3,4
j15,7/19/13,x,3,4
k64,7/19/13,x,3,4
j95,7/26/13,x,4,3
j45,7/26/13,x,4,3
l18,7/26/13,x,4,3
k32,7/26/13,x,4,3
k45,7/26/13,x,4,3
k66,7/26/13,x,4,3
j18,7/26/13,x,4,3
j79,7/26/13,x,4,3
k36,7/26/13,x,4,3
k60,7/26/13,x,4,3
j65,7/26/13,x,4,3
h91,7/26/13,x,4,3
k84,7/26/13,x,4,3
j64,7/26/13,x,4,3
j66,7/26/13,x,4,3
j56,7/26/13,x,4,3
k18,7/26/13,x,4,3
k40,7/26/13,x,4,3
k38,7/26/13,x,4,3
j39,7/26/13,x,4,3
j94,7/26/13,x,4,3
j88,7/26/13,x,4,3
k75,7/26/13,x,4,3
k90,7/26/13,x,4,3
j40,7/26/13,missing?,4,3
j00,7/26/13,x,4,4
k35,7/26/13,x,4,4
k92,7/26/13,x,4,4
h94,7/26/13,x,4,4
j50,7/26/13,x,4,4
k02,7/26/13,x,4,4
k12,7/26/13,x,4,4
k73,7/26/13,x,4,4
j28,7/26/13,x,4,4
j54,7/26/13,x,4,4
j85,7/26/13,x,4,4
k56,7/26/13,x,4,4
j72,7/26/13,x,4,4
h82,7/26/13,x,4,4
j32,7/26/13,x,4,4
k52,7/26/13,x,4,4
k23,7/26/13,x,4,4
k48,7/26/13,x,4,4
k63,7/26/13,x,4,4
j08,7/26/13,x,4,4
k78,7/26/13,x,4,4
k44,7/26/13,x,4,4
k85,7/26/13,x,4,4
k80,7/26/13,x,4,4
k02,8/14/13,x,5,3
k75,8/14/13,x,5,3
j03,8/14/13,x,5,3
j12,8/14/13,x,5,3
k84,8/14/13,x,5,3
j66,8/14/13,x,5,3
k04,8/14/13,x,5,3
j08,8/14/13,x,5,3
j45,8/14/13,x,5,3
k60,8/14/13,x,5,3
l00,8/14/13,x,5,3
j30,8/14/13,x,5,3
l18,8/14/13,x,5,3
h94,8/14/13,x,5,3
k32,8/14/13,x,5,3
j76,8/14/13,x,5,3
k48,8/14/13,x,5,3
k49,8/14/13,x,5,3
l16,8/14/13,x,5,3
k34,8/14/13,x,5,3
k80,8/14/13,x,5,3
l02,8/14/13,x,5,3
j09,8/14/13,x,5,3
h92,8/14/13,x,5,3
j18,8/14/13,x,5,3
h85,8/14/13,x,5,3
k35,8/14/13,x,5,4
j05,8/14/13,x,5,4
k64,8/14/13,x,5,4
k92,8/14/13,x,5,4
j39,8/14/13,lost tag,5,4
k23,8/14/13,x,5,4
k53,8/14/13,x,5,4
l13,8/14/13,x,5,4
k2,8/14/13,x,5,4
h96,8/14/13,x,5,4
k73,8/14/13,x,5,4
j48,8/14/13,x,5,4
k12,8/14/13,x,5,4
l12,8/14/13,x,5,4
h80,8/14/13,x,5,4
j86,8/14/13,x,5,4
k98,8/14/13,x,5,4
h89,8/14/13,x,5,4
h95,8/14/13,x,5,4
l10,8/14/13,x,5,4
k59,8/14/13,x,5,4
j88,8/14/13,x,5,4
h98,8/14/13,lost tag,5,4
k50,8/14/13,x,5,4
k54,8/23/13,x,6,3
k66,8/23/13,x,6,3
h93,8/23/13,x,6,3
j54,8/23/13,x,6,3
j00,8/23/13,x,6,3
j25,8/23/13,x,6,3
